dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,phase,fallback_count,method_elapsed_sec,warp_sigma,warp_knots,per_channel_curve,window_warp_ratio,window_warp_min_window_len,window_warp_speed_min,window_warp_speed_max,window_slice_ratio,window_slice_min_window_len,wdba_k,wdba_max_iter,wdba_tau,spawner_noise_scale,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
racketsports,1,csta_fv_score_top5,success,,0.8656212251404092,0.872829417773238,0.0072081926328287,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.9388888888888888,14,0,,,,,,,0.0001210661237107,,,selector_ablation,0.0,6.620240232965443,,,,,,,,,,,,,,fv_score_topk,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002214813587434,1.100983339975805,0.1583628962930269,0.0655241103716859,2.1438648560026827,0.1,0.1,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.0,2.176666925076386,0.1666666666666666,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/racketsports/s1/candidate_audit/racketsports_s1_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000010069077,1.057118662206977,0.1,0.1,0.0655241103716859,0.0,0.0,2.1438648560026827,0.0001210661237107,2.176666925076386,0.1666666666666666,pre_bridge_fv,fv_score_top5,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888484663795718,0.6912813980501122,1.380129864429684,0.5433153571139663,1.651787542986667,1.0,1.0,0.6888484663795718,0.6912813980501122,1.380129864429684,0.5433153571139663,1.651787542986667,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,fv_score_top5,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6439876728442867,0.6505309066490541,0.0133635817838723,2.176666925076386
racketsports,2,csta_fv_score_top5,success,,0.8588293650793651,0.88329945799458,0.0244700929152148,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,1.0,30,0,,,,,,,0.0001339228096398,,,selector_ablation,0.0,8.862451477965806,,,,,,,,,,,,,,fv_score_topk,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002217581097732,1.1022450045680954,0.1622400657355126,0.0647946893573358,2.169316663145023,0.1,0.1,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.0,2.157658016624888,0.1758333333333333,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/racketsports/s2/candidate_audit/racketsports_s2_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000002668537,1.0329691269621244,0.1,0.1,0.0647946893573358,0.0,0.0,2.169316663145023,0.0001339228096398,2.157658016624888,0.1758333333333333,pre_bridge_fv,fv_score_top5,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6304679114054772,0.6723387475018825,1.3028066589073597,0.5432517092513368,1.574432513533028,1.0,1.0,0.6304679114054772,0.6723387475018825,1.3028066589073597,0.5432517092513368,1.574432513533028,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,fv_score_top5,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6409920133104581,0.6446748194233678,0.0161542688599673,2.157658016624888
racketsports,3,csta_fv_score_top5,success,,0.8843719087962982,0.8297620006336914,-0.0546099081626068,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.9117647058823528,13,0,,,,,,,0.0001230712514686,,,selector_ablation,0.0,6.895601240976248,,,,,,,,,,,,,,fv_score_topk,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002217051555866,1.0986088256416282,0.1588889561453194,0.0655045614977208,2.1508125271014964,0.1,0.1,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.0,2.1377014336755,0.17,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/racketsports/s3/candidate_audit/racketsports_s3_csta_fv_score_top5_candidate_audit.csv.gz,0.100000000226739,1.0473921113384428,0.1,0.1,0.0655045614977208,0.0,0.0,2.1508125271014964,0.0001230712514686,2.1377014336755,0.17,pre_bridge_fv,fv_score_top5,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365008371139352,0.7198192715512386,1.3563201086651735,0.543165034361282,1.6279026258458145,1.0,1.0,0.6365008371139352,0.7198192715512386,1.3563201086651735,0.543165034361282,1.6279026258458145,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,fv_score_top5,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6390133560120386,0.640681388461378,0.013002536628967,2.1377014336755
atrialfibrillation,1,csta_random_feasible_selector,success,,0.2164502164502164,0.1631701631701631,-0.0532800532800532,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.5555555555555555,30,0,,,,,,,0.0269774034940078,,,selector_ablation,0.0,5.374563166988082,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001276998410232,1.0733275864926184,0.1152082756703917,0.1814713984200871,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120.0,120.0,10.0,10.0,0.0,2.19399046094348,0.2083333333333333,1.0,120.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999993119283,0.9178642460926264,0.1,0.1,0.1814713984200871,0.0,0.0,1.0436398830928968,0.0269774034940078,2.19399046094348,0.2083333333333333,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430166798538459,0.3280237726476874,0.7581905711861464,0.7502107418457363,1.1332959421090147,1.0,1.0,0.430166798538459,0.3280237726476874,0.7581905711861464,0.7502107418457363,1.1332959421090147,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2550371083690743,0.2867997950590593,0.0662662563935412,2.19399046094348
atrialfibrillation,2,csta_random_feasible_selector,success,,0.3205128205128205,0.0833333333333333,-0.2371794871794871,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,1.0,30,0,,,,,,,0.0331159012011971,,,selector_ablation,0.0,5.463235364004504,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001272235521843,1.0446786998557909,0.1060064469201595,0.1754549935286714,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120.0,120.0,10.0,10.0,0.0,2.031310297956136,0.2166666666666666,1.0,120.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999996801538,0.8522898334803268,0.1,0.1,0.1754549935286714,0.0,0.0,1.033774431547862,0.0331159012011971,2.031310297956136,0.2166666666666666,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608979593886305,0.3084915202479706,0.5693894796366011,0.5518307529191143,0.8453048560961584,1.0,1.0,0.2608979593886305,0.3084915202479706,0.5693894796366011,0.5518307529191143,0.8453048560961584,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,3.0,12.0,False,1.0,1.0,1.0,0.0,0.3592279026832697,0.3777094475231055,0.043015200500775,2.031310297956136
atrialfibrillation,3,csta_random_feasible_selector,success,,0.1666666666666666,0.3111111111111111,0.1444444444444445,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,1.0,15,0,,,,,,,0.0322733842848423,,,selector_ablation,0.0,5.038097494048998,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001278098577327,1.0720827257635557,0.1183147343928667,0.181886676106683,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120.0,120.0,10.0,10.0,0.0,2.199161969985251,0.2,1.0,120.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_random_feasible_selector_candidate_audit.csv.gz,0.1000000009549318,0.7747940758335905,0.1,0.1,0.181886676106683,0.0,0.0,0.8437962467856865,0.0322733842848423,2.199161969985251,0.2,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5209365168235361,0.4009728882742171,0.9219094050977534,0.5503164875863505,1.1970676488909286,1.0,1.0,0.5209365168235361,0.4009728882742171,0.9219094050977534,0.5503164875863505,1.1970676488909286,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2480053213535128,0.2473399434098298,0.0043627584516276,2.199161969985251
ering,1,csta_random_feasible_selector,success,,0.5424850558740912,0.7504157919507809,0.2079307360766896,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.7777777777777777,30,0,,,,,,,0.0013174102829325,,,selector_ablation,0.0,5.566254742036108,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812133874825,1.0944884564878228,0.1451974828009823,0.1423919298100297,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240.0,240.0,10.0,10.0,0.0,2.2194925761628195,0.1458333333333333,1.0,240.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/ering/s1/candidate_audit/ering_s1_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999992494902,0.5765903950957603,0.1,0.1,0.1423919298100297,0.0,0.0,1.0850636769840405,0.0013174102829325,2.2194925761628195,0.1458333333333333,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4610446614969616,0.4108106421979827,0.8718553036949442,0.6535098210818208,1.1986102142358548,1.0,1.0,0.4610446614969616,0.4108106421979827,0.8718553036949442,0.6535098210818208,1.1986102142358548,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,10.0,24.0,False,1.0,1.0,1.0,0.0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.2194925761628195
ering,2,csta_random_feasible_selector,success,,0.848105426301868,0.8102017494884305,-0.0379036768134375,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,1.0,30,0,,,,,,,0.0013019879191495,,,selector_ablation,0.0,5.954711833037436,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001811056243135,1.0970377905758897,0.1442236543307203,0.1469376721939602,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240.0,240.0,10.0,10.0,0.0,2.1156462032104795,0.2041666666666666,1.0,240.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/ering/s2/candidate_audit/ering_s2_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999996019412,0.5864359304415986,0.1,0.1,0.1469376721939602,0.0,0.0,1.0484200830955133,0.0013019879191495,2.1156462032104795,0.2041666666666666,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643262256703399,0.5246754831873987,0.8890017088577387,0.6482786815875923,1.213141049651535,1.0,1.0,0.3643262256703399,0.5246754831873987,0.8890017088577387,0.6482786815875923,1.213141049651535,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,10.0,24.0,False,1.0,1.0,1.0,0.0,0.3222339555125668,0.3261402467539024,0.0143436075719679,2.1156462032104795
ering,3,csta_random_feasible_selector,success,,0.8501737413578302,0.8150579734659682,-0.0351157678918619,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.7777777777777778,16,0,,,,,,,0.0013510334234987,,,selector_ablation,0.0,5.142592834017705,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001807134462429,1.0944737930526491,0.1414788590178251,0.1431906748755865,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240.0,240.0,10.0,10.0,0.0,2.215782269477344,0.175,1.0,240.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/ering/s3/candidate_audit/ering_s3_csta_random_feasible_selector_candidate_audit.csv.gz,0.1000000001414643,0.5889953742325855,0.1,0.1,0.1431906748755865,0.0,0.0,1.0999095086492523,0.0013510334234987,2.215782269477344,0.175,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4349816307449601,0.602563764502507,1.0375453952474671,0.7987357927481477,1.436913291621541,1.0,1.0,0.4349816307449601,0.602563764502507,1.0375453952474671,0.7987357927481477,1.436913291621541,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,10.0,24.0,False,1.0,1.0,1.0,0.0,0.286704659174984,0.2865740186565553,0.0164677153455645,2.215782269477344
handmovementdirection,1,csta_random_feasible_selector,success,,0.2384428967090257,0.2413618901423779,0.0029189934333522,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.4176003734827264,25,0,,,,,,,1.112328948047324e-07,,,selector_ablation,0.0,9.778181892994326,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854065900855,1.0865247691073636,0.1485820834070562,0.1378233036073282,0.9899009169526736,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280.0,1280.0,10.0,10.0,0.0,2.287633202165639,0.12265625,1.0,1280.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handmovementdirection/s1/candidate_audit/handmovementdirection_s1_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999998931213,0.2729557274301283,0.0999999999999999,0.0999999999999999,0.1378233036073282,0.0,0.0,0.9899009169526736,1.112328948047324e-07,2.287633202165639,0.12265625,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4279142233784851,0.5445869351050006,0.9725011584834858,0.5423244074774732,1.2436633622222222,1.0,1.0,0.4279142233784851,0.5445869351050006,0.9725011584834858,0.5423244074774732,1.2436633622222222,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7521657954824004,0.7547584640415349,0.0132217261575631,2.287633202165639
handmovementdirection,2,csta_random_feasible_selector,success,,0.2030680813439434,0.2791256157635468,0.0760575344196033,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.457376283846872,22,0,,,,,,,1.1119242623650686e-07,,,selector_ablation,0.0,9.314888296998106,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002853528995478,1.0874316910847717,0.1479582108369375,0.1384131421834092,0.987985101412486,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280.0,1280.0,10.0,10.0,0.0,2.278182012363277,0.13046875,1.0,1280.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handmovementdirection/s2/candidate_audit/handmovementdirection_s2_csta_random_feasible_selector_candidate_audit.csv.gz,0.100000000050019,0.279936262431208,0.0999999999999999,0.0999999999999999,0.1384131421834092,0.0,0.0,0.987985101412486,1.1119242623650686e-07,2.278182012363277,0.13046875,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4371202513583395,0.5398319487737397,0.9769522001320794,0.7313141467758912,1.342609273520025,1.0,1.0,0.4371202513583395,0.5398319487737397,0.9769522001320794,0.7313141467758912,1.342609273520025,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7594804272123965,0.761819704350053,0.0119107333957204,2.278182012363277
handmovementdirection,3,csta_random_feasible_selector,success,,0.1875628456510809,0.3083873798159512,0.1208245341648703,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.2773692810457516,15,0,,,,,,,1.1148516878443412e-07,,,selector_ablation,0.0,8.130567706015427,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000285457524687,1.086517200402692,0.1476192689609918,0.1358228204488208,1.0034452843727364,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280.0,1280.0,10.0,10.0,0.0,2.285295500514397,0.13125,1.0,1280.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handmovementdirection/s3/candidate_audit/handmovementdirection_s3_csta_random_feasible_selector_candidate_audit.csv.gz,0.0999999999282536,0.2853073962475688,0.0999999999999999,0.0999999999999999,0.1358228204488208,0.0,0.0,1.0034452843727364,1.1148516878443412e-07,2.285295500514397,0.13125,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4439346578395417,0.5724116363235134,1.0163462941630552,0.5423138094549005,1.2875031988905057,1.0,1.0,0.4439346578395417,0.5724116363235134,1.0163462941630552,0.5423138094549005,1.2875031988905057,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7623051847260964,0.7644649575641655,0.0116461000250424,2.285295500514397
handwriting,1,csta_random_feasible_selector,success,,0.382737297846506,0.463418552859794,0.0806812550132879,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.3875,18,0,,,,,,,0.0003234877636251,,,selector_ablation,0.0,7.164319931005593,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001568325052517,1.0777900258629272,0.1192982990386026,0.668166213443331,0.2429830989517447,0.1,0.0949935641732212,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.1916666666666666,2.189086274562233,0.1591666666666666,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handwriting/s1/candidate_audit/handwriting_s1_csta_random_feasible_selector_candidate_audit.csv.gz,0.0949935645405851,0.3710526850749382,0.1,0.0949935641732212,0.668166213443331,0.1916666666666666,0.0,0.2429830989517447,0.0003234877636251,2.189086274562233,0.1591666666666666,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258528198925736,0.5044309913687808,0.9302838112613544,0.5266723642783387,1.1936199934005236,1.0,1.0,0.4258528198925736,0.5044309913687808,0.9302838112613544,0.5266723642783387,1.1936199934005236,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7453685192797045,0.7444455584581675,0.002264257482999,2.189086274562233
handwriting,2,csta_random_feasible_selector,success,,0.4136709560472157,0.4466952711050803,0.0330243150578645,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.3972222222222221,14,0,,,,,,,0.0003195101144578,,,selector_ablation,0.0,8.479473815998062,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001567686478838,1.0796545239709432,0.1231871899791133,0.6407217776493889,0.2591882417685238,0.1,0.0963474859992552,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.15,2.2005448110916084,0.1483333333333333,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handwriting/s2/candidate_audit/handwriting_s2_csta_random_feasible_selector_candidate_audit.csv.gz,0.0963474861729777,0.3883397178882407,0.1,0.0963474859992552,0.6407217776493889,0.15,0.0,0.2591882417685238,0.0003195101144578,2.2005448110916084,0.1483333333333333,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4456147958946267,0.5340622954311891,0.9796770913258156,0.6968353208713878,1.3280947517615096,1.0,1.0,0.4456147958946267,0.5340622954311891,0.9796770913258156,0.6968353208713878,1.3280947517615096,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7552577188516096,0.7538034710311421,0.0025632709193199,2.2005448110916084
handwriting,3,csta_random_feasible_selector,success,,0.4038917991696072,0.4332505182861349,0.0293587191165277,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_random_feasible_control,0.3268571428571428,15,0,,,,,,,0.0003246994133284,,,selector_ablation,0.0,7.298498706019018,,,,,,,,,,,,,,random_feasible_selector,single_anchor_pre_bridge_selector,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001568098127633,1.0806281108595828,0.1228526992997368,0.6453255190584848,0.2621793509247431,0.1,0.096740497661831,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.1833333333333333,2.2150224376025966,0.1441666666666666,1.0,1200.0,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_random_feasible_selector/_csta_runs/csta_random_feasible_selector/handwriting/s3/candidate_audit/handwriting_s3_csta_random_feasible_selector_candidate_audit.csv.gz,0.0967404971921863,0.3593264769051417,0.1,0.096740497661831,0.6453255190584848,0.1833333333333333,0.0,0.2621793509247431,0.0003246994133284,2.2150224376025966,0.1441666666666666,pre_bridge_fv,random_feasible_selector,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307011773412502,0.4711089703231507,0.9018101476644008,0.6995359423858943,1.251578118857348,1.0,1.0,0.4307011773412502,0.4711089703231507,0.9018101476644008,0.6995359423858943,1.251578118857348,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random_feasible_selector,6.0,120.0,False,1.0,1.0000000000000002,1.0,0.0,0.7505251104427254,0.7490490656463976,0.0034144444333813,2.2150224376025966
